Glenda,Rogerio,4.58,178
Lauryn,Darian,5.53,45
Judy,Narton,3.94,74
Drucie,Carvey,1.52,143
Elbertina,Annabella,3.57,93
Fanchon,Sadowski,5.96,17
Penelopa,Heidt,2.08,131
Veda,Fancie,5.24,85
Nonnah,Grimbly,1.97,147
Almeta,Alabaster,3.13,41
Tamqrah,Shama,1.74,127
Sandie,Lorain,5.59,3
Allyce,Croix,1.36,160
Shaylyn,Ogren,4.24,161
Ekaterina,Richers,2.81,164
Delilah,Leary,4.32,73
Lenna,Sancho,2.76,198
Jennica,Even,3.08,129
Selma,Tound,3.96,137
Berta,Khorma,2.75,167
Aurore,Braun,2.85,182
Janenna,Latini,1.92,200
Magdalena,Zachary,5.89,123
Drucie,Erskine,3.98,81
Stacey,Taam,3.25,132
Noelle,Roumell,5.07,141
Cherilyn,Urias,4.05,175
Farrah,Mauer,5.32,122
Tilly,Isacco,2.05,13
Maye,Zuzana,3.73,94
Nanete,Ferrell,2.9,51
Meriel,Solitta,3.9,160
Helena,Schenck,2.15,62
Ethel,Regan,3.71,178
Felice,Burnside,3.96,5
Fidelia,Jaylene,3.17,195
Isa,Elephus,2.09,21
Dale,Dudley,2.37,17
Lanna,Tengdin,5.13,22
Shauna,Suanne,5.37,96
Karlee,Fennessy,2.12,198
Farrah,Cleo,4.26,41
Brena,Ranjiv,1.06,120
Regina,Hylan,1.11,48
Gianina,Nisbet,5.89,152
Marika,Raychel,3.52,156
Abbie,Gunn,4,176
Lorne,Vivle,1,183
Lorne,Greenwald,4.58,90
Marsiella,Stevy,2.9,100
Aryn,Berl,1.65,16
Gerianna,Krystle,2.4,26
Fina,Grobe,4.08,44
Agathe,Constancy,2.62,12
Emmey,Kolnick,4.7,82
Fanchon,Melleta,3.97,130
Katleen,Bennie,5.55,9
Cathie,Kare,4.15,105
Marcelline,Cleo,4.25,84
Bertine,Marcellus,4.74,118
Barbara,Larochelle,2.13,98
Jemie,Stelle,2.53,126
Lila,Sprage,4.47,82
Fernande,Erskine,3.81,11
Lulita,Hebner,2.93,120
Annaliese,Koehler,5.43,168
Maye,Robertson,3.54,190
Kaja,Tayib,3.89,43
Bertine,Darrell,1.88,138
Joy,Wooster,4,80
Jennica,Freddi,5.51,13
Selma,Kunin,1.01,182
Vinita,Mott,4.49,19
Almeta,Urania,2.02,43
Rori,Pillsbury,3.31,124
Teddie,Vharat,1.51,110
Flo,Honoria,4.75,69
Gusty,Means,5.75,38
Orsola,Malanie,2.97,64
Lulita,Dunkin,2.3,178
Konstance,Montgomery,1.18,99
Jinny,Othilia,2.98,137
Myrtice,Thornburg,1.67,157
Suzette,Salchunas,2.08,88
Susette,Odysseus,1.9,133
Bobbi,Hurley,1.66,167
Fidelia,Robertson,4.64,124
Mary,Skurnik,1.99,144
Aimil,Zola,3.48,2
Isa,Natica,4.39,143
Wanda,Jerold,5.61,196
Roslyn,Vernier,3.85,42
Odessa,Chauncey,1.18,124
Gianina,Urania,1.94,143
Brana,Lenny,5.21,99
Myriam,Buffum,1.8,8
Ardenia,Peonir,4.69,152
Pierette,Nicoline,1.4,102
Petronia,Nester,4.18,108
Marjie,Kauppi,2.86,140
Chickie,Gibbeon,2.63,156
Moyna,Salchunas,1.3,97
Lexine,Lilas,3.73,200
Jean,Goth,2.11,98
Asia,Uird,5.97,54
Sibella,Persse,3.75,5
Ira,Graig,3.98,33
Nananne,Lilybelle,1.25,120
Melina,Hashim,1.68,86
Fanchon,Hanleigh,5.35,66
Bernardine,Toni,3.34,118
Janey,Stacy,2.21,125
Kristan,Gilmour,4.73,183
Laure,Etom,2.94,148
Siana,Yoko,2.72,10
Blondelle,Teryn,3.66,29
Linet,Rubie,1.57,63
Delilah,Daegal,2.71,7
Myrtice,Gerge,4.25,58
Mariele,Tillford,2.69,87
Barbi,Corrine,1.69,166
Dari,Virgin,1.03,116
Marguerite,Sparhawk,1.13,46
Jean,Lay,1.75,15
Clo,Leler,4.61,55
Elvira,Vittoria,2.97,50
Alyda,Grobe,2.73,30
Shell,Warthman,5.32,111
Rosabelle,Grayce,1.49,38
Bettine,Brenn,4.28,166
Belva,Blake,1.56,26
Ebonee,Montgomery,1.92,194
Eolanda,Naashom,1.21,193
Emma,Decato,5.8,168
Britte,Phi,2.78,144
Joy,Diogenes,4,148
Netty,Campball,2.14,165
Tonia,Bartlett,3.57,160
Beatriz,Raimondo,1.94,47
Tiffie,Elvyn,4.88,168
Ida,Malvino,5.42,160
Karolina,Morehouse,2.4,27
Rosanne,Read,1.32,69
Regina,Kellby,2.96,168
Audrie,Solitta,3.79,70
Gisela,Lattie,1.66,155
Olwen,Hull,1.63,176
Ketti,Maples,5.89,19
Deane,Ellerey,3.55,10
Donetta,Havens,4.23,50
Chickie,Read,3.07,36
Carmencita,Thornburg,4.5,90
Lilith,Shanley,5.57,199
Krystle,Morehouse,5.5,88
Arlena,Ackerley,3.81,82
Lacie,Rese,3.61,91
Nariko,Fulmer,2.49,1
Abbie,Liva,2.19,59
Cassondra,Noam,1.24,27
Robbi,Deegan,5.84,20
Alexine,Belanger,2.91,164
Robbi,Lalitta,1.5,110
Max,Rustice,5.86,62
Lisette,Burch,3.2,126
Eugine,Randene,2.75,71
Ardenia,Shama,5.5,164
Magdalena,Greyson,2.75,73
Allyce,Wenda,1.11,49
Orsola,Oscar,1.73,180
Roslyn,Pearse,1.29,56
Ulrike,Weinreb,4.69,85
Candy,Skurnik,4.31,46
Anica,Lorenz,4.03,42
Aurelie,Phyllis,2.76,90
Imojean,Dyche,2.55,72
Zia,Bandeen,1.21,119
Estell,Ezar,4.5,20
Lonnie,Stav,2.21,104
Eve,Baylor,1.99,45
Marcelline,Destinee,3.02,126
Liana,Nikaniki,4.51,4
Collen,Diann,1.23,25
Monika,Tayib,1.71,191
Laurene,Kolnick,5.36,10
Lynde,Cherianne,2.79,41
Dominga,Pip,1.08,11
Winny,Hachmin,5.26,199
Agathe,Bendick,3.82,41
Vanessa,Toor,2.91,134
Ursulina,Darrell,5.93,56
Margette,Ferrell,2.02,166
Brana,Kristi,2.32,145
Jordan,Strephon,3.51,99
Chastity,Constancy,2.74,154
Sallie,Arathorn,4.95,14
Candy,Fabiola,2.95,118
Barbi,Codding,3.89,18
Ezmeralda,Lane,3.19,91
Livvyy,Ursulette,1.59,42
Hayley,Aaberg,4.07,153
Eve,Shirberg,1.69,183
Rori,Clara,1.15,132
Myrtice,Kenney,3.49,112
Hyacinthe,Desai,3.14,33
Cissiee,Allina,1.3,70
Jany,Darian,1.47,37
Sissy,Denis,5.96,94
Kaia,Bethany,2.84,130
Nonnah,Berne,2.82,176
Kore,Screens,1.09,108
Hayley,Allare,2.19,138
Cassondra,Lymann,3.86,13
Korrie,Chobot,4.4,8
Petronia,Wyn,3.83,54
Clementine,Francyne,5.51,112
Adelle,Damarra,2.16,28
Elsie,Randene,1.74,50
Jenilee,Gower,4.05,111
Harrietta,Meli,4.98,57
Norine,Brodench,1,152
Merrie,Fleeta,4.86,134
Belinda,Abernon,5.96,129
Hannis,Markman,1.25,25
Juliane,Melleta,3.99,93
Marguerite,Tippets,1.56,16
Shell,Raychel,4.46,168
Karlee,Weide,3.11,27
Glenda,Genna,3.98,54
Rosabelle,Madox,5.23,25
Layla,Tatianas,5.98,126
Kirstin,Gert,5.68,173
Suzette,Brunell,2.33,163
Collen,Madaih,5.76,170
Raf,Kirstin,5.97,135
Augustine,Sinegold,5.56,118
Linzy,Gualtiero,2.91,153
Lenna,Holtz,4.43,76
Reeba,Cloris,5.89,59
Minne,Saree,5.17,78
Myrtice,Wittie,4.43,159
Lonnie,Larochelle,4.27,167
Cordi,Federica,1.93,75
Minda,Bevin,4.59,31
Ulrike,Leonard,2.82,150
Lelah,Knowling,2.86,77
Jenilee,Abbot,4.3,17
Lizzie,Melan,3.98,139
Lynea,Tippets,5.42,106
Adele,Ophelia,3.46,182
Ethel,Klotz,3.95,127
Susette,Aloise,2.33,52
Jackie,Karylin,5.63,193
Marleah,Gahl,3.71,56
Evaleen,Luhe,2.69,60
Nickie,Even,4.79,164
Gavrielle,Naashom,5.95,118
Ardeen,Bach,1.36,121
Alie,Candy,3.28,171
Delilah,Bultman,5.88,170
Mariele,Anselmi,5.48,4
Flory,Borrell,5.7,16
Britni,Read,4.42,155
Sadie,Katrine,4.87,102
Jere,Sheng,2.28,192
Tami,An,1.11,186
Rochette,Rolf,4.8,178
Amalie,Alejoa,3.03,185
Hermione,Louanna,5.64,135
Lusa,Whiffen,4.25,96
Vevay,Buffum,4.12,150
Eadie,Borrell,1.94,46
Kristina,Alisia,2.17,91
Doralynne,Masao,5.85,181
Nariko,Libna,3.06,150
Elie,Ahab,4,141
Gilligan,Woodberry,4.03,18
Bobinette,Jacqui,4.9,98
Olwen,Merna,4.48,26
Roslyn,Joni,4.13,199
Rebeca,Toffic,1.17,70
